序号,技能名,工作设施,产物限定,干员,需求精英,效率值,游戏原文
186,心理学,办公室,,夜魔；宴；梓兰,精0；精2,40,进驻人力办公室时，人脉资源的联络速度+40%
187,WRITER,办公室,,伊桑,精0,40,进驻人力办公室时，人脉资源的联络速度+40%
188,B-girl,办公室,,酸糖,精0,40,进驻人力办公室时，人脉资源的联络速度+40%
189,不停歇的电话,办公室,,淬羽赫默,精0,40,进驻人力办公室时，人脉资源的联络速度+40%
190,追忆,办公室,,絮雨,精2,,进驻人力办公室时，每1点记忆碎片转化为1点感知信息，心情耗尽时清空所有记忆碎片和自身累积的感知信息
191,巡游,办公室,,絮雨,精0,20,进驻人力办公室时，人脉资源的联络速度+20%，同时每个招募位（不包含初始招募位）+10点记忆碎片
192,救援队·灾后普查,办公室,,桑葚,精2,,进驻人力办公室时，每个招募位（不包含初始招募位）+10点人间烟火
193,心声图绘,办公室,,深律,精2,,进驻人力办公室时，每个招募位（不包含初始招募位）+15点无声共鸣
194,语言学,办公室,,闪击,精2,20,进驻人力办公室时，人脉资源的联络速度+20%，每1点情报储备额外+5%联络速度，每1瓶乌萨斯特饮额外+5%联络速度
195,圣女声望,办公室,,圣聆初雪,精0,20,进驻人力办公室时，人脉资源的联络速度+20%，心情每小时消耗-0.25
196,雪境归心,办公室,,圣聆初雪,精2,35,进驻人力办公室时，人脉资源的联络速度+35%，心情每小时消耗-0.25，如果凛御银灰进驻在控制中枢，则人脉资源的联络速度额外+10%
197,救援队·保证体力,办公室,,雪绒,精2,35,进驻人力办公室时，人脉资源的联络速度+35%，同时每个招募位（不包含初始招募位）使心情每小时消耗-0.1
198,救援队·外界联络,办公室,,雪绒,精0,30,进驻人力办公室时，人脉资源的联络速度+30%
199,用人唯才,办公室,,林,精2,,进驻人力办公室时，每个招募位（不包含初始招募位）+10%人脉资源的联络速度
200,天灾信使·α,办公室,,地灵,精0,30,进驻人力办公室时，人脉资源的联络速度+30%
201,救援队·珠算,办公室,,桑葚,精0,10,进驻人力办公室时，人脉资源的联络速度+10%，心情每小时消耗-0.25
202,宫廷礼仪,办公室,,深律,精0,10,进驻人力办公室时，人脉资源的联络速度+10%，心情每小时消耗-0.25
203,救援队·资源清点,办公室,,桑葚,精1,20,进驻人力办公室时，人脉资源的联络速度+20%，心情每小时消耗-0.25
204,特殊渠道,办公室,,林,精0,20,进驻人力办公室时，人脉资源的联络速度+20%，心情每小时消耗-0.25
205,踏坊寻味·α,办公室,,行箸,精0,20,进驻人力办公室时，人脉资源的联络速度+20%，心情每小时消耗-0.25
206,威权谕使,办公室,,深律,精2,30,进驻人力办公室时，人脉资源的联络速度+30%，心情每小时消耗-0.25
207,踏坊寻味·β,办公室,,行箸,精2,30,进驻人力办公室时，人脉资源的联络速度+30%，心情每小时消耗-0.25
208,准时下班,办公室,,地灵,精1,45,进驻人力办公室时，人脉资源的联络速度+45%，心情每小时消耗+2
209,法为正典,办公室,,斥罪,精0,50,进驻人力办公室时，人脉资源的联络速度+50%，心情每小时消耗+0.5
210,永不停歇·α,办公室,,水灯心,精0,30,进驻人力办公室时，人脉资源的联络速度+30%，心情每小时消耗+1
211,永不停歇·β,办公室,,水灯心,精2,45,进驻人力办公室时，人脉资源的联络速度+45%，心情每小时消耗+1
212,梅兰德侦探·α,办公室,,锡人,精0,5,进驻人力办公室时，人脉资源的联络速度+5%，每间宿舍每级额外+1%人脉资源的联络速度
213,梅兰德侦探·β,办公室,,锡人,精2,5,进驻人力办公室时，人脉资源的联络速度+5%，每间宿舍每级额外+2%人脉资源的联络速度
214,“泰拉的方舟”,办公室,,凯尔希·思衡托,精2,30,进驻人力办公室时，人脉资源的联络速度+30%，基建内（不包含副手及活动室）每有一间进驻精英干员的设施，联络速度额外+4%（最多5间）
215,古老巫术,制造站,,截云,精0,,进驻制造站时，每5点人间烟火转化为1点巫术结晶
216,绘图设计,制造站,,至简,精0,,进驻制造站时，基建内除活动室外每间设施每级+1个工程机器人，上限64个
217,春雷响，万物长,制造站,,黍,精0,,进驻制造站时，当前制造站内所有干员心情每小时消耗-0.1
218,团队精神,制造站,,槐琥,精0,,进驻制造站时，消除当前制造站内所有干员自身心情消耗的影响
219,Vlog,制造站,战斗记录,卡达,精0,,进驻制造站时，生产作战记录类配方时，心情每小时消耗-0.25
220,剪辑·α,制造站,战斗记录,稀音,精2,,进驻制造站时，生产作战记录类配方时，仓库容量上限+12
221,剪辑·β,制造站,战斗记录,卡达,精1,,进驻制造站时，生产作战记录类配方时，仓库容量上限+15
222,合理利用,制造站,战斗记录,圣约送葬人,精2,,进驻制造站时，生产作战记录类配方时，仓库容量上限+4
223,战阵领袖,制造站,战斗记录,怒潮凛冬,精0,30,进驻制造站时，作战记录类配方的生产力+30%
224,情同手足,制造站,战斗记录,怒潮凛冬,精2,30,进驻制造站时，作战记录类配方的生产力+30%，当与乌萨斯学生自治团干员在同一个制造站时，作战记录类配方的生产力额外+10%
225,小奇思,制造站,赤金,杏仁,精0,25,进驻制造站时，贵金属类配方的生产力+25%，心情每小时消耗+0.25
226,净味香氛,制造站,赤金,阿罗玛,精0,25,进驻制造站时，贵金属类配方的生产力+25%，心情每小时消耗+0.25
227,挑大梁,制造站,赤金,杏仁,精2,,进驻制造站时，基建内（不包含副手及活动室使用者）每有1名黑钢国际干员（最多3名），贵金属类配方的生产力+2%，心情每小时消耗-0.15
228,造价高昂,制造站,赤金,娜斯提,精2,,进驻制造站时，基建内（不包含副手及活动室使用者）每有1名莱茵生命干员（最多5名），贵金属类配方的生产力+3%
229,齐心沙盗,制造站,赤金,娜仁图亚,精2,,进驻制造站时，每间宿舍每级为贵金属类配方的生产力+1%
230,镜中影,制造站,战斗记录,酒神,精0,20,进驻制造站时，作战记录类配方的生产力+20%，心情每小时消耗-0.25
231,戏中人,制造站,战斗记录,酒神,精2,35,进驻制造站时，作战记录类配方的生产力+35%，心情每小时消耗-0.25
232,“连轴转”,制造站,战斗记录,裂响,精2,35,进驻制造站时，作战记录类配方的生产力+35%，心情每小时消耗+0.25
233,胜利之计,制造站,战斗记录,帕拉斯,精2,25,进驻制造站时，作战记录类配方的生产力+25%
234,作战指导录像,制造站,战斗记录,Castle-3；白雪；红豆；霜叶；食铁兽,精0；精1,30,进驻制造站时，作战记录类配方的生产力+30%
235,拳术指导录像,制造站,战斗记录,断罪者；食铁兽,精1；精2,35,进驻制造站时，作战记录类配方的生产力+35%
236,逆境荣光,制造站,战斗记录,弑君者,精2,35,进驻制造站时，作战记录类配方的生产力+35%
237,公证所教习·α,制造站,战斗记录,圣约送葬人,精0,20,进驻制造站时，作战记录类配方的生产力+20%
238,公证所教习·β,制造站,战斗记录,圣约送葬人,精2,30,进驻制造站时，作战记录类配方的生产力+30%
239,金属工艺·α,制造站,赤金,夜烟；斑点；苍苔,精0；精1,30,进驻制造站时，贵金属类配方的生产力+30%
240,金属工艺·α,制造站,赤金,温米,精2,30,进驻制造站时，贵金属类配方的生产力+30%
241,金属工艺·α,制造站,赤金,引星棘刺,精0,30,进驻制造站时，贵金属类配方的生产力+30%
242,金属工艺·β,制造站,赤金,砾,精1,35,进驻制造站时，贵金属类配方的生产力+35%
243,源石工艺·α,制造站,源石,月见夜,精1,30,进驻制造站时，源石类配方的生产力+30%
244,地质学·α,制造站,源石,薄绿；褐果,精1,30,进驻制造站时，源石类配方的生产力+30%
245,源石工艺·β,制造站,源石,炎熔,精1,35,进驻制造站时，源石类配方的生产力+35%
246,地质学·β,制造站,源石,地灵,精1,35,进驻制造站时，源石类配方的生产力+35%
247,源石研究,制造站,源石,锡兰,精2,35,进驻制造站时，源石类配方的生产力+35%
248,火山学家,制造站,源石,艾雅法拉,精0,35,进驻制造站时，源石类配方的生产力+35%
249,患难拍档,制造站,战斗记录,烈夏,精2,,进驻制造站时，若古米在贸易站，则作战记录类配方的生产力+35%
250,实干的寡言者,制造站,赤金；战斗记录；源石,导火索,精2,20,进驻制造站时，生产力+20%，每有1瓶乌萨斯特饮，则仓库容量上限+2
251,拾荒者,制造站,,红云,精0,,进驻制造站时，仓库容量上限+8，心情每小时消耗-0.25
252,拾荒者,制造站,,清道夫,精1,,进驻制造站时，仓库容量上限+8，心情每小时消耗-0.25
253,磐蟹·阿盘,制造站,,豆苗,精1,,进驻制造站时，仓库容量上限+8，心情每小时消耗-0.25
254,“都想要”,制造站,,刻俄柏,精0,,进驻制造站时，仓库容量上限+8，心情每小时消耗-0.25
255,智慧之境,制造站,,帕拉斯,精0,,进驻制造站时，仓库容量上限+8，心情每小时消耗-0.25
256,囤积者,制造站,,泡泡,精0,,进驻制造站时，仓库容量上限+10，心情每小时消耗-0.25
257,无畏豪情,制造站,,娜仁图亚,精0,,进驻制造站时，仓库容量上限+10，心情每小时消耗-0.25
258,午休好去处,制造站,,Miss.Christine,精0,,进驻制造站时，仓库容量上限+10，心情每小时消耗-0.25
259,探险者,制造站,,石棉,精2,,进驻制造站时，仓库容量上限+16，心情每小时消耗-0.25
260,掘进工程,制造站,,洋灰,精2,,进驻制造站时，仓库容量上限+10，心情每小时消耗-0.25
261,收纳达人,制造站,,钼铅,精2,,进驻制造站时，仓库容量上限+16，心情每小时消耗-0.25
262,重聚时光,制造站,赤金；战斗记录；源石,历阵锐枪芬,精2,,进驻制造站时，当前制造站内每个A1小队干员为自身+10%的生产力
263,可靠的随从们,制造站,赤金；战斗记录；源石,泰拉大陆调查团,精0,5,进驻制造站时，仓库容量上限+8，生产力+5%，同时每有1个木天蓼，则生产力+1%
264,工匠精神·α,制造站,赤金；战斗记录；源石,火神,精0,-5,进驻制造站时，生产力-5%，仓库容量上限+16，心情每小时消耗-0.15
265,工匠精神·β,制造站,赤金；战斗记录；源石,火神,精2,-5,进驻制造站时，生产力-5%，仓库容量上限+19，心情每小时消耗-0.25
266,麻烦制造者,制造站,赤金；战斗记录；源石,泡普卡,精0,25,进驻制造站时，生产力+25%，仓库容量上限-12，心情每小时消耗+0.25
267,特立独行,制造站,赤金；战斗记录；源石,石棉,精0,25,进驻制造站时，生产力+25%，仓库容量上限-12，心情每小时消耗+0.25
268,“可靠”助手,制造站,赤金；战斗记录；源石,贝娜,精0,-20,进驻制造站时，生产力-20%，仓库容量上限+17，心情每小时消耗-0.25
269,量体裁衣,制造站,赤金；战斗记录；源石,裁度,精0,20,进驻制造站时，生产力+20%，心情每小时消耗+0.25
270,虔信,制造站,赤金；战斗记录；源石,雪猎,精0,20,进驻制造站时，生产力+20%，心情每小时消耗+0.25
271,独当一面,制造站,赤金；战斗记录；源石,雪猎,精2,30,进驻制造站时，生产力+30%，心情每小时消耗+0.25
272,得心应手,制造站,赤金；战斗记录；源石,裁度,精2,25,进驻制造站时，生产力+25%，仓库容量上限+6
273,行动派,制造站,赤金；战斗记录；源石,钼铅,精0,20,进驻制造站时，生产力+20%，仓库容量上限-8
274,仓库整备·α,制造站,赤金；战斗记录；源石,卡缇；米格鲁,精0,10,进驻制造站时，仓库容量上限+6，生产力+10%
275,仓库整备·β,制造站,赤金；战斗记录；源石,蛇屠箱；黑角,精0,10,进驻制造站时，仓库容量上限+10，生产力+10%
276,科学改造,制造站,赤金；战斗记录；源石,冬时,精0,,进驻制造站时，当前制造站内其他干员提供的生产力全部归零（不包含根据设施数量提供加成的生产力），每个当前制造站内干员为当前制造站仓库容量上限+5
277,流程优化,制造站,赤金；战斗记录；源石,冬时,精1,,进驻制造站时，当前制造站内其他干员提供的生产力全部归零（不包含根据设施数量提供加成的生产力），每个当前制造站内干员为当前制造站+10%生产力，仓库容量上限+5
278,自动化·α,制造站,赤金；战斗记录；源石,异客；掠风；森蚺,精0；精2,,进驻制造站时，当前制造站内其他干员提供的生产力全部归零（不包含根据设施数量提供加成的生产力），每个发电站为当前制造站+5%的生产力
279,自动化·β,制造站,赤金；战斗记录；源石,森蚺；温蒂,精0；精2,,进驻制造站时，当前制造站内其他干员提供的生产力全部归零（不包含根据设施数量提供加成的生产力），每个发电站为当前制造站+10%的生产力
280,仿生海龙,制造站,赤金；战斗记录；源石,温蒂,精2,,进驻制造站时，当前制造站内其他干员提供的生产力全部归零（不包含根据设施数量提供加成的生产力），每个发电站为当前制造站+15%的生产力
281,再生能源,制造站,赤金,清流,精1,,进驻制造站时，每个贸易站为当前制造站贵金属类配方的生产力+20%
282,原质塑金副产物,制造站,赤金,引星棘刺,精2,,进驻制造站时，每个贸易站为当前制造站贵金属类配方的生产力+3%
283,标准化·α,制造站,赤金；战斗记录；源石,夜刀；洋灰；流星；石英；褐果,精0,15,进驻制造站时，生产力+15%
284,莱茵科技·α,制造站,赤金；战斗记录；源石,星源；白面鸮；赫默,精0,15,进驻制造站时，生产力+15%
285,红松骑士团·α,制造站,赤金；战斗记录；源石,灰毫；远牙；野鬃,精0,15,进驻制造站时，生产力+15%
286,磐蟹·豆豆,制造站,赤金；战斗记录；源石,豆苗,精0,15,进驻制造站时，生产力+15%
287,差遣使魔·α,制造站,赤金；战斗记录；源石,玛露西尔,精0,20,进驻制造站时，生产力+20%
288,标准化·β,制造站,赤金；战斗记录；源石,史都华德；杰西卡；水月；海沫；罗比菈塔；调香师；香草,精0；精1；精2,25,进驻制造站时，生产力+25%
289,莱茵科技·β,制造站,赤金；战斗记录；源石,多萝西；娜斯提；星源；溯光星源；白面鸮；赫默,精0；精2,25,进驻制造站时，生产力+25%
290,红松骑士团·β,制造站,赤金；战斗记录；源石,灰毫；远牙；野鬃,精2,25,进驻制造站时，生产力+25%
291,差遣使魔·β,制造站,赤金；战斗记录；源石,玛露西尔,精2,30,进驻制造站时，生产力+30%
292,咪波·制造型,制造站,赤金；战斗记录；源石,梅尔,精2,30,进驻制造站时，生产力+30%
293,莱茵科技·γ,制造站,赤金；战斗记录；源石,淬羽赫默,精2,30,进驻制造站时，生产力+30%
294,标准化·α,制造站,赤金；战斗记录；源石,历阵锐枪芬,精0,15,进驻制造站时，生产力+15%
295,窗外雪啸,制造站,赤金；战斗记录；源石,铅踝,精1,,进驻制造站时，当自身心情落差大于12时，生产力+10%，仓库容量+6
296,急性子,制造站,赤金；战斗记录；源石,芬,精0,20,进驻制造站后，生产力首小时+20%，此后每小时+1%，最终达到+25%
297,“等不及”,制造站,赤金；战斗记录；源石,刻俄柏,精2,20,进驻制造站后，生产力首小时+20%，此后每小时+1%，最终达到+25%
298,慢性子,制造站,赤金；战斗记录；源石,克洛丝,精0,15,进驻制造站后，生产力首小时+15%，此后每小时+2%，最终达到+25%
299,延时摄影,制造站,赤金；战斗记录；源石,稀音,精0,15,进驻制造站后，生产力首小时+15%，此后每小时+2%，最终达到+25%
300,例行清扫,制造站,赤金；战斗记录；源石,阿罗玛,精2,,进驻制造站后，生产力每小时+2%，最终达到+20%
301,念力,制造站,赤金；战斗记录；源石,迷迭香,精0,,进驻制造站时，每2点思维链环+1%生产力
302,意识实体,制造站,赤金；战斗记录；源石,迷迭香,精2,,进驻制造站时，每1点思维链环+1%生产力
303,机械辅助·α,制造站,赤金；战斗记录；源石,至简,精0,,进驻制造站时，每16个工程机器人+5%生产力
304,机械辅助·β,制造站,赤金；战斗记录；源石,至简,精2,,进驻制造站时，每8个工程机器人+5%生产力
305,逐水草,制造站,赤金；战斗记录；源石,截云,精0,,进驻制造站时，每1点巫术结晶+1%生产力
306,问枯荣,制造站,赤金；战斗记录；源石,截云,精2,,进驻制造站时，每1点巫术结晶+2%生产力
307,稻禾厚，顺秋收,制造站,赤金；战斗记录；源石,黍,精2,,进驻制造站时，每3点人间烟火+1%生产力
308,意想不到的美味,制造站,赤金；战斗记录；源石,玛露西尔,精2,,进驻制造站时，每1点魔物料理+1%生产力
309,超感,制造站,,迷迭香,精0,,进驻制造站时，宿舍内每有1名干员则感知信息+1，同时每1点感知信息转化为1点思维链环
310,“搭把手！”,制造站,赤金,阿兰娜,精2,,进驻制造站时，当与温米在同一个制造站时，贵金属类配方的生产力+15%
311,盛餐的回报,制造站,战斗记录,Miss.Christine,精2,,进驻制造站时，当与酒神在同一个制造站时，作战记录类配方的生产力+30%
312,模糊视线,制造站,赤金；战斗记录；源石,铅踝,精0,30,进驻制造站时，生产力+30%，自身每有4点心情落差，生产力-5%
313,手艺人,制造站,赤金；战斗记录；源石,维伊,精2,,进驻制造站时，训练室每级为当前制造站+10%生产力，最多30%
314,配合意识,制造站,赤金；战斗记录；源石,槐琥,精2,,进驻制造站时，当前制造站内其他干员提供的每5%生产力（不包含根据设施数量提供加成的生产力），额外提供5%生产力，最多提供40%生产力
315,大就是好！,制造站,赤金；战斗记录；源石,泡泡,精1,,进驻制造站时，当前制造站内干员根据自身提升的仓库容量提供一定的生产力。提升16格以下的，每格仓库容量提供1%生产力；提升大于16格的，每格仓库容量提供3%生产力（无法与回收利用叠加，且优先生效）
316,回收利用,制造站,赤金；战斗记录；源石,红云,精1,,进驻制造站时，当前制造站内干员提升的每格仓库容量，提供2%生产力
317,意识兼容,制造站,,海沫,精0,,进驻制造站时，当前制造站内所有莱茵科技类、红松骑士团类技能也全都视作标准化类技能
318,勘探背包,制造站,赤金；战斗记录；源石,溯光星源,精0,,进驻制造站时，当前制造站内每个莱茵科技类技能为自身+5的仓库上限容量
319,意识协议,制造站,赤金；战斗记录；源石,水月,精0,,进驻制造站时，当前制造站内每个标准化类技能为自身+5%的生产力
320,源石技艺理论应用,制造站,赤金；战斗记录；源石,多萝西,精0,,进驻制造站时，当前制造站内每个莱茵科技类技能为自身+5%的生产力
321,打工心得,制造站,赤金；战斗记录；源石,苍苔,精2,,进驻制造站时，当前制造站内每个金属工艺类技能为自身+5%的生产力
322,机械精通·α,制造站,赤金,阿兰娜,精0,,进驻制造站时，每有1台作业平台进驻发电站，贵金属类配方的生产力+5%
323,机械精通·β,制造站,赤金,阿兰娜,精2,,进驻制造站时，每有1台作业平台进驻发电站，贵金属类配方的生产力+10%
324,哥伦比亚史,会客室,,山,精2,,进驻会客室后，每当新搜集到的线索不是莱茵生命时，则额外增加莱茵生命线索的出现概率（工作时长影响概率）
325,耶拉冈德,会客室,,耶拉,精2,,进驻会客室后，每当新搜集到的线索不是喀兰贸易时，则额外增加喀兰贸易线索的出现概率（工作时长影响概率）
326,甄别,会客室,,苦艾,精2,,进驻会客室后，每当新搜集到的线索不是乌萨斯学生自治团时，则额外增加乌萨斯学生自治团线索的出现概率（工作时长影响概率）
327,插旗,会客室,,极境,精2,,进驻会客室后，每当新搜集到的线索不是罗德岛制药时，则额外增加罗德岛制药线索的出现概率（工作时长影响概率）
328,情报整理,会客室,,夏栎,精2,,进驻会客室后，每当新搜集到的线索不是格拉斯哥帮时，则额外增加格拉斯哥帮线索的出现概率（工作时长影响概率）
329,远见,会客室,,凛视,精0,10,进驻会客室时，线索搜集速度提升10%，当与提丰进驻会客室一起工作时，线索搜集速度额外提升15%，自身心情每小时消耗+0.5
330,未来之途,会客室,,凛视,精2,10,进驻会客室时，线索搜集速度提升10%，当与提丰进驻会客室一起工作时，线索搜集速度额外提升15%，自身心情每小时消耗+0.5，且更容易获得线索板上尚未拥有的线索
331,杀手的假期,会客室,,忍冬,精2,,进驻会客室时，当与铃兰进驻会客室一起工作时，线索搜集速度额外提升30%
332,广交义友,会客室,,骋风,精0,,进驻会客室时，每个招募位（不包含初始招募位）提升5%线索搜集速度
333,文献学顾问,会客室,,霍尔海雅,精2,,进驻会客室时，如果会客室内只有自身处于工作状态时，连续消耗超过16点心情下一次必定获得莱茵生命的线索
334,暗线,会客室,,奥达,精2,,进驻会客室时，如果会客室内只有自身处于工作状态时，连续消耗超过16点心情下一次必定获得罗德岛制药的线索
335,线索搜集·α,会客室,,见行者,精0,10,进驻会客室时，线索搜集速度提升10%
336,逻辑推理,会客室,,见行者,精2,35,进驻会客室时，线索搜集速度提升35%，心情每小时消耗+2
337,双面间谍,会客室,,和弦,精2,,进驻会客室时，如果会客室内只有自身处于工作状态时，线索搜集速度提升50%，心情每小时消耗+2
338,“职业操守”·α,会客室,,奥达；霍尔海雅,精0,,进驻会客室时，如果会客室内只有自身处于工作状态时，线索搜集速度提升15%，心情每小时消耗+1
339,“职业操守”·β,会客室,,奥达；霍尔海雅,精2,,进驻会客室时，如果会客室内只有自身处于工作状态时，线索搜集速度提升35%，心情每小时消耗+1
340,专业经理·α,会客室,,复奏,精0,,进驻会客室时，如果会客室内只有自身处于工作状态时，线索搜集速度提升15%，心情每小时消耗+1
341,专业经理·β,会客室,,复奏,精2,,进驻会客室时，如果会客室内只有自身处于工作状态时，线索搜集速度提升35%，心情每小时消耗+1
342,无辜笑脸,会客室,,跃跃,精1,,进驻会客室时，处于线索交流时线索搜集速度提升30%
343,特殊渠道顾问,会客室,,响石,精2,,进驻会客室时，处于线索交流时线索搜集速度提升30%
344,冰原游弋,会客室,,提丰,精0,10,进驻会客室时，线索搜集速度提升10%，与其他萨米干员进驻会客室一起工作时，线索搜集速度额外提升5%，自身心情每小时消耗+0.5
345,人情练达,会客室,,寻澜,精0,10,进驻会客室时，线索搜集速度提升10%，与其他黑钢国际干员进驻会客室一起工作时，线索搜集速度额外提升15%，自身心情每小时消耗+0.5
346,情报探查,会客室,,寻澜,精2,10,进驻会客室时，线索搜集速度提升10%，与其他黑钢国际干员进驻会客室一起工作时，线索搜集速度额外提升20%
347,线索搜集·α,会客室,,因陀罗；塞雷娅；安洁莉娜；微风；星极；耶拉；芙兰卡；莫斯提马；谜图；跃跃,精0,10,进驻会客室时，线索搜集速度提升10%
348,守望者,会客室,,塞雷娅,精2,10,进驻会客室时，线索搜集速度提升10%，且更容易获得莱茵生命线索（工作时长影响概率）
349,信使·企鹅物流,会客室,,莫斯提马,精2,10,进驻会客室时，线索搜集速度提升10%，且更容易获得企鹅物流线索（工作时长影响概率）
350,联络员,会客室,,杰西卡,精1,10,进驻会客室时，线索搜集速度提升10%，且更容易获得黑钢国际线索（工作时长影响概率）
351,B.P.R.S.,会客室,,芙兰卡,精2,10,进驻会客室时，线索搜集速度提升10%，且更容易获得黑钢国际线索（工作时长影响概率）
352,讯使,会客室,,讯使,精1,10,进驻会客室时，线索搜集速度提升10%，且更容易获得喀兰贸易线索（工作时长影响概率）
353,雪境守望,会客室,,耶拉,精2,10,进驻会客室时，线索搜集速度提升10%，且更容易获得喀兰贸易线索（工作时长影响概率）
354,军师,会客室,,真理,精2,10,进驻会客室时，线索搜集速度提升10%，且更容易获得乌萨斯学生自治团线索（工作时长影响概率）
355,信使·罗德岛制药,会客室,,安洁莉娜,精2,10,进驻会客室时，线索搜集速度提升10%，且更容易获得罗德岛制药线索（工作时长影响概率）
356,传讯者,会客室,,因陀罗,精2,10,进驻会客室时，线索搜集速度提升10%，且更容易获得格拉斯哥帮线索（工作时长影响概率）
357,没落贵族,会客室,,微风,精2,10,进驻会客室时，线索搜集速度提升10%，且更容易获得格拉斯哥帮线索（工作时长影响概率）
358,警司,会客室,,陈,精2,25,进驻会客室时，线索搜集速度提升25%
359,星象学,会客室,,星极,精2,25,进驻会客室时，线索搜集速度提升25%
360,线索搜集·α,会客室,,哈洛德；守林人；断崖,精0,10,进驻会客室时，线索搜集速度提升10%
361,线索搜集·β,会客室,,杰克；梅,精0；精1,20,进驻会客室时，线索搜集速度提升20%
362,化影,会客室,,风丸,精0,15,进驻会客室时，线索搜集速度提升15%
363,泡茶高手,会客室,,信仰搅拌机,精0,15,进驻会客室时，线索搜集速度提升15%
364,线索搜集·β,会客室,,12F；守林人；宴；断崖；暗索；白雪,精0；精1；精2,20,进驻会客室时，线索搜集速度提升20%
365,好奇心,会客室,,莱欧斯,精0,20,进驻会客室时，线索搜集速度提升20%
366,社交达人,会客室,,信仰搅拌机,精2,20,进驻会客室时，线索搜集速度提升20%
367,占卜,会客室,,远山,精1,25,进驻会客室时，线索搜集速度提升25%
368,追踪者,会客室,,红,精2,25,进驻会客室时，线索搜集速度提升25%
369,领袖外交,会客室,,伺夜,精0,25,进驻会客室时，线索搜集速度提升25%
370,线索搜集·α,会客室,,忍冬；松桐,精0,10,进驻会客室时，线索搜集速度提升10%
371,线索搜集·β,会客室,,忍冬,精2,20,进驻会客室时，线索搜集速度提升20%
372,线索搜集·β,会客室,,行箸,精2,20,进驻会客室时，线索搜集速度提升20%
373,显眼的调查者,会客室,,U-Official,精0,,进驻会客室时，更容易获得线索板上已经拥有的线索
374,情报专家,会客室,,双月,精2,5,进驻会客室时，线索搜集速度提升5%，同时每1点情报储备额外提升5%
375,饱餐的干劲,会客室,,莱欧斯,精2,,进驻会客室时，每拥有1点魔物料理，线索搜集速度额外提升2%
376,扶危行侠,会客室,,赤刃明霄陈,精2,20,进驻会客室时，线索搜集速度提升20%，同时每10点人间烟火额外提升1%
377,得心应手,会客室,,风丸,精2,,进驻会客室时，如果会客室内只有自身处于工作状态时，线索搜集速度提升35%
378,不泯童心,会客室,,信仰搅拌机,精2,,进驻会客室时，如果菲亚梅塔进驻在宿舍，则线索搜集速度额外提升10%
379,聚影,会客室,,伊内丝,精2,20,进驻会客室时，线索搜集速度提升20%，此后每小时提升2%，最终达到30%
380,眼观六路,会客室,,骋风,精1,,进驻会客室时，处于线索交流时更容易获得线索板上尚未拥有的线索
381,不容遗漏·α,会客室,,晓歌,精0,,进驻会客室时，更容易获得线索板上尚未拥有的线索
382,情报分析,会客室,,谜图,精2,,进驻会客室时，更容易获得线索板上尚未拥有的线索
383,见微知著,会客室,,松桐,精2,,进驻会客室时，更容易获得线索板上尚未拥有的线索
384,萍踪浪迹,会客室,,赤刃明霄陈,精0,,进驻会客室时，更容易获得线索板上尚未拥有的线索
385,不容遗漏·β,会客室,,晓歌,精2,10,进驻会客室时，线索搜集速度提升10%，且更容易获得线索板上尚未拥有的线索
386,交个朋友,会客室,,哈洛德,精2,,进驻会客室时，提升会客室内另一干员所属派系的线索倾向效果（如会客室没有另一干员则不提升）
387,皇家探员（自称）,会客室,,梅,精1,,进驻会客室时，更容易获得企鹅物流线索（工作时长影响概率）
388,秘密搜查,会客室,,苦艾,精0,,进驻会客室时，更容易获得乌萨斯学生自治团线索（工作时长影响概率）
389,通讯员,会客室,,极境,精0,,进驻会客室时，更容易获得罗德岛制药线索（工作时长影响概率）
390,风声,会客室,,夏栎,精0,,进驻会客室时，更容易获得格拉斯哥帮线索（工作时长影响概率）
391,晨曦,发电站,,承曦格雷伊,精2,,进驻发电站时，如果其他发电站内没有进驻作业平台，则发电站额外+1(仅影响设施数量)
392,“滴滴，启动！”,发电站,,正义骑士号,精0,,进驻发电站时，野鬃所在的制造站生产力+5%
393,巡线框架,发电站,,承曦格雷伊,精0,,进驻发电站时，每10架无人机上限+1%无人机充能速度（最多+25%）
394,生态科主任,发电站,,缪尔赛思,精2,10,进驻发电站时，无人机充能速度+10%，基建内（不包含副手及活动室使用者）每有1名除自身以外的莱茵生命干员（最多5名），充能速度额外+3%
395,技术交流·α,发电站,,空构,精0,10,进驻发电站时，无人机充能速度首小时+10%，此后每小时+1%，最终达到+15%
396,技术交流·β,发电站,,空构,精2,15,进驻发电站时，无人机充能速度首小时+15%，此后每小时+1%，最终达到+20%
397,热情澎湃,发电站,,THRM-EX,精0,,进驻发电站时，心情每小时消耗-0.52
398,外卖水果挞,发电站,,空构,精0,,进驻发电站时，心情每小时消耗-0.3
399,灵河共鸣,发电站,,菲莱,精2,,进驻发电站时，每间宿舍每级为充能速度额外+0.5%
400,备用能源,发电站,,Castle-3；Friston-3；Lancet-2；THRM-EX；正义骑士号,精0,10,进驻发电站时，无人机充能速度+10%
401,鸡电工程,发电站,,GALLUS²,精0,10,进驻发电站时，无人机充能速度+10%
402,热能充能·α,发电站,,伊芙利特；炎熔；煌,精0,10,进驻发电站时，无人机充能速度+10%
403,光能充能·α,发电站,,深靛,精0,10,进驻发电站时，无人机充能速度+10%
